epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,381.734,2.77803,7.09762,1.60722,0.0002,0.00337,0.00056,6e-05,2.81808,6.93219,1.44177,2.6624e-06,2.6624e-06,2.6624e-06
42,390.75,2.83512,7.34227,1.67081,0.0002,0.00337,0.00056,6e-05,2.81808,6.93219,1.44177,2.46918e-06,2.46918e-06,2.46918e-06
43,399.657,2.89004,7.06172,1.79052,0.00016,0.00337,0.00042,4e-05,2.83873,6.91996,1.44844,2.2633e-06,2.2633e-06,2.2633e-06
44,408.275,2.90416,7.16732,1.7311,0.00016,0.00337,0.00042,4e-05,2.83873,6.91996,1.44844,2.04474e-06,2.04474e-06,2.04474e-06
45,417.241,2.73432,7.10038,1.58093,0.00013,0.00337,0.00042,4e-05,2.82199,6.91118,1.43915,1.8135e-06,1.8135e-06,1.8135e-06
46,426.236,2.67191,7.1858,1.5944,0.00013,0.00337,0.00042,4e-05,2.82199,6.91118,1.43915,1.5696e-06,1.5696e-06,1.5696e-06
47,435.249,2.88413,7.06157,1.75612,0.00013,0.00337,0.00042,4e-05,2.78749,6.91153,1.42886,1.31302e-06,1.31302e-06,1.31302e-06
48,444.2,2.62362,7.3533,1.66245,0.00013,0.00337,0.00042,4e-05,2.78749,6.91153,1.42886,1.04378e-06,1.04378e-06,1.04378e-06
49,453.041,2.72687,7.42402,1.48446,0.00011,0.00337,0.00042,4e-05,2.73611,6.93064,1.41372,7.61856e-07,7.61856e-07,7.61856e-07
50,461.756,2.96883,7.44714,1.61976,0.00011,0.00337,0.00042,4e-05,2.73611,6.93064,1.41372,4.67264e-07,4.67264e-07,4.67264e-07
